1,"G","NAVAS                        ",1,100,20,30,50,40,100,50
2,"D","VARANE                         ",0,35,100,20,51,45,30,0
3,"D","PEPE                          ",0,55,80,50,50,75,20,75
4,"D","SERGIO RAMOS                    ",0,100,100,50,90,100,23,75
5,"D","FERNANDEZ                       ",2,30,100,100,100,100,100,100
6,"M","REMOS                           ",1,100,85,50,45,35,20,80
7,"M","CRISTIANO RONALDO               ",1,98,100,50,90,65,60,90
8,"M","ELUNSU                          ",1,75,95,50,53,35,0,84
9,"A","KROSS                           ",0,100,100,90,98,73,25,95
10,"A","BENZEMA                       ",0,67,67,90,90,90,11,75
11,"A","NEIL                           ",0,98,70,76,90,59,50,71
12,"G","FORNINDEZ                       ",0,80,100,100,61,45,10,20
13,"D","CERVEHE                         ",2,88,98,91,100,89,24,50
14,"M","CASEMIRO                       ",0,65,95,50,50,38,12,100
15,"M","MUDROC                          ",0,60,95,50,50,35,20,100
16,"A","RODRIGUEZ                       ",2,100,100,58,50,35,27,91
